station_id,station_name,state,ev_network,primary_path,context_path,label
397441,"CircleK - Monument, CO",CO,CIRCLE_K,data-ev\data\images\primary\397441_primary_01c567897c6f.png,data-ev\data\images\context\397441_context_01c567897c6f.png,
386866,WEST HERR AUTO WH FW L3-1 EXPP,NY,ChargePoint Network,data-ev\data\images\primary\386866_primary_c207db94ce7e.png,data-ev\data\images\context\386866_context_c207db94ce7e.png,
374594,Joe Cooper Dodge of Yukon,OK,FCN,data-ev\data\images\primary\374594_primary_fc32613499e0.png,data-ev\data\images\context\374594_context_fc32613499e0.png,
171386,VIKING GROCERY VIKING 1,MI,ChargePoint Network,data-ev\data\images\primary\171386_primary_f0528edf8f2e.png,data-ev\data\images\context\171386_context_f0528edf8f2e.png,
192698,EVsmart - BGE - Hargrove DC - MCS,MD,SWTCH,data-ev\data\images\primary\192698_primary_a1405d311f45.png,data-ev\data\images\context\192698_context_a1405d311f45.png,
302972,Meijer - Tesla Supercharger,IN,Tesla,data-ev\data\images\primary\302972_primary_e10f87459de0.png,data-ev\data\images\context\302972_context_e10f87459de0.png,
102431,The Hill Shopping Center - Tesla Supercharger,TX,Tesla,data-ev\data\images\primary\102431_primary_c8c6a94f37ae.png,data-ev\data\images\context\102431_context_c8c6a94f37ae.png,
375940,FRT FAST CHARGE FRONT #2,LA,ChargePoint Network,data-ev\data\images\primary\375940_primary_97798d46c492.png,data-ev\data\images\context\375940_context_97798d46c492.png,
168275,Pride Stores - Tesla Supercharger,CT,Tesla,data-ev\data\images\primary\168275_primary_98aa4cb82419.png,data-ev\data\images\context\168275_context_98aa4cb82419.png,
348906,Major Market Inc,NM,LOOP,data-ev\data\images\primary\348906_primary_7c9db499ad3a.png,data-ev\data\images\context\348906_context_7c9db499ad3a.png,
223594,76,CA,Non-Networked,data-ev\data\images\primary\223594_primary_e9cc381fd99c.png,data-ev\data\images\context\223594_context_e9cc381fd99c.png,
303763,KEELER STATION 8,NY,ChargePoint Network,data-ev\data\images\primary\303763_primary_041f7e26fc36.png,data-ev\data\images\context\303763_context_041f7e26fc36.png,
328206,Ford of Greenfield,MA,Blink Network,data-ev\data\images\primary\328206_primary_78f210cc6881.png,data-ev\data\images\context\328206_context_78f210cc6881.png,
190414,"Walmart 1697 (Elk Grove, CA)",CA,Electrify America,data-ev\data\images\primary\190414_primary_f9734c4e2f66.png,data-ev\data\images\context\190414_context_f9734c4e2f66.png,
373114,Roosevelt Mall,PA,eVgo Network,data-ev\data\images\primary\373114_primary_911a3a781e80.png,data-ev\data\images\context\373114_context_911a3a781e80.png,
143939,Avista - Gonzaga School of Law DCFC,WA,FLO,data-ev\data\images\primary\143939_primary_b67be176fd91.png,data-ev\data\images\context\143939_context_b67be176fd91.png,
440882,Boulder City Police Department,NV,TURNONGREEN,data-ev\data\images\primary\440882_primary_414c821bbdd8.png,data-ev\data\images\context\440882_context_414c821bbdd8.png,
445719,CUMB FARMS EV POINT 6786-2,MA,ChargePoint Network,data-ev\data\images\primary\445719_primary_f49790a8cf70.png,data-ev\data\images\context\445719_context_f49790a8cf70.png,
199137,BDO PUBLIC BENNETT DC2,CO,ChargePoint Network,data-ev\data\images\primary\199137_primary_0047d86aa0d1.png,data-ev\data\images\context\199137_context_0047d86aa0d1.png,
171479,"Bank of America GA7-634 (Woodstock, GA)",GA,Electrify America,data-ev\data\images\primary\171479_primary_68875e396edf.png,data-ev\data\images\context\171479_context_68875e396edf.png,
447225,Sugarland Regional Airport,TX,ONPOINT_EV_SOLUTIONS,data-ev\data\images\primary\447225_primary_23e148e947f0.png,data-ev\data\images\context\447225_context_23e148e947f0.png,
355050,Burger King - Tesla Supercharger,AZ,Tesla,data-ev\data\images\primary\355050_primary_e64f6afaba54.png,data-ev\data\images\context\355050_context_e64f6afaba54.png,
349064,RC Lacy Ford,NY,CHARGESMART_EV,data-ev\data\images\primary\349064_primary_02cf722cec5a.png,data-ev\data\images\context\349064_context_02cf722cec5a.png,
152450,"Green Acres Mall (Valley Stream, NY)",NY,Electrify America,data-ev\data\images\primary\152450_primary_37be0cf5bb2f.png,data-ev\data\images\context\152450_context_37be0cf5bb2f.png,
279410,"Kroger Fred Meyer 195 (Medford, OR)",OR,Electrify America,data-ev\data\images\primary\279410_primary_97c162e43b71.png,data-ev\data\images\context\279410_context_97c162e43b71.png,
351447,Cronin CDJR,OH,Blink Network,data-ev\data\images\primary\351447_primary_8a44bc6770f1.png,data-ev\data\images\context\351447_context_8a44bc6770f1.png,
321181,Hansen Motor Company,UT,Blink Network,data-ev\data\images\primary\321181_primary_cdcdfd074ce2.png,data-ev\data\images\context\321181_context_cdcdfd074ce2.png,
388311,Florida Cracker Cook Shack,FL,EV Connect,data-ev\data\images\primary\388311_primary_ea59f0c1ae3f.png,data-ev\data\images\context\388311_context_ea59f0c1ae3f.png,
416621,HUNTERSVILLEFRD LEVEL3 CHARGER1,NC,ChargePoint Network,data-ev\data\images\primary\416621_primary_0ba60e462c37.png,data-ev\data\images\context\416621_context_0ba60e462c37.png,
405833,Audi of Birmingham,AL,CHAEVI,data-ev\data\images\primary\405833_primary_e6cb9017fa9f.png,data-ev\data\images\context\405833_context_e6cb9017fa9f.png,
237066,Jordan Downs,CA,EVCS,data-ev\data\images\primary\237066_primary_c6914b4ff0fc.png,data-ev\data\images\context\237066_context_c6914b4ff0fc.png,
101980,Carl's Jr. - Sundance Towne Center - Tesla Supercharger,AZ,Tesla,data-ev\data\images\primary\101980_primary_0ecf89218e03.png,data-ev\data\images\context\101980_context_0ecf89218e03.png,
197954,PIEDMONT EMC CARRBORO PLAZA,NC,ChargePoint Network,data-ev\data\images\primary\197954_primary_615f08ea4e99.png,data-ev\data\images\context\197954_context_615f08ea4e99.png,
199062,Hampton Inn & Suites Sacramento Cal Expo,CA,EVCS,data-ev\data\images\primary\199062_primary_b7b7ff939e90.png,data-ev\data\images\context\199062_context_b7b7ff939e90.png,
448757,Popeyes - Tesla Supercharger,NY,Tesla,data-ev\data\images\primary\448757_primary_e19ab810a754.png,data-ev\data\images\context\448757_context_e19ab810a754.png,
49900,Bridgewater Nissan,NJ,Non-Networked,data-ev\data\images\primary\49900_primary_4c092ae9b3dc.png,data-ev\data\images\context\49900_context_4c092ae9b3dc.png,
332767,WCEH McMinnville,OR,EVCS,data-ev\data\images\primary\332767_primary_bb5a8d6b8ea5.png,data-ev\data\images\context\332767_context_bb5a8d6b8ea5.png,
102408,Range Country Lodging - Tesla Supercharger,SD,Tesla,data-ev\data\images\primary\102408_primary_173d0778e58e.png,data-ev\data\images\context\102408_context_173d0778e58e.png,
396970,FasCharge 17385 Market Express Shell Charlotte,NC,RED_E,data-ev\data\images\primary\396970_primary_010c8a09fd23.png,data-ev\data\images\context\396970_context_010c8a09fd23.png,
331048,Rohnert Parl Taco Bell,CA,CHARGENET,data-ev\data\images\primary\331048_primary_655da68d04c0.png,data-ev\data\images\context\331048_context_655da68d04c0.png,
451616,433 W Van Buren St,IL,EVIUM,data-ev\data\images\primary\451616_primary_908ad88ce626.png,data-ev\data\images\context\451616_context_908ad88ce626.png,
372860,Pilot Flying J - 1354,TX,eVgo Network,data-ev\data\images\primary\372860_primary_0cbf60e7bc87.png,data-ev\data\images\context\372860_context_0cbf60e7bc87.png,
220760,PIE AE SEAHOLM DC8,TX,ChargePoint Network,data-ev\data\images\primary\220760_primary_b7511fa079e0.png,data-ev\data\images\context\220760_context_b7511fa079e0.png,
449611,Miss Portland Diner,ME,JULE,data-ev\data\images\primary\449611_primary_6067b44e6307.png,data-ev\data\images\context\449611_context_6067b44e6307.png,
228422,Centre on Seventeenth,CA,eVgo Network,data-ev\data\images\primary\228422_primary_b4ca81692b4e.png,data-ev\data\images\context\228422_context_b4ca81692b4e.png,
420905,Women of Wisdom - Luxelocker Luxury Storage,WA,OpConnect,data-ev\data\images\primary\420905_primary_fbf1a6014471.png,data-ev\data\images\context\420905_context_fbf1a6014471.png,
293154,SFBENZ SSF MBSF STATION 7,CA,ChargePoint Network,data-ev\data\images\primary\293154_primary_fd8507444c00.png,data-ev\data\images\context\293154_context_fd8507444c00.png,
389028,US Bank Buena Park - La Palma,CA,EVCS,data-ev\data\images\primary\389028_primary_b84bbfbbf13f.png,data-ev\data\images\context\389028_context_b84bbfbbf13f.png,
254403,"Sutherlin, OR - Tesla Supercharger",OR,Tesla,data-ev\data\images\primary\254403_primary_814905d7664f.png,data-ev\data\images\context\254403_context_814905d7664f.png,
260178,CRESTMONT DRIVECRESTMONT2,OH,ChargePoint Network,data-ev\data\images\primary\260178_primary_e3bd83473d9c.png,data-ev\data\images\context\260178_context_e3bd83473d9c.png,
223858,PSTA Office,FL,WAVE,data-ev\data\images\primary\223858_primary_2ac67214bcce.png,data-ev\data\images\context\223858_context_2ac67214bcce.png,
260771,Westcott Buick GMC,NC,EV Connect,data-ev\data\images\primary\260771_primary_550941ce48d6.png,data-ev\data\images\context\260771_context_550941ce48d6.png,
258948,FALCON CUSTOMER CHARGE,SC,ChargePoint Network,data-ev\data\images\primary\258948_primary_83a30adc1cf0.png,data-ev\data\images\context\258948_context_83a30adc1cf0.png,
228127,Yorba Linda Town Center,CA,eVgo Network,data-ev\data\images\primary\228127_primary_dc4123c84bbe.png,data-ev\data\images\context\228127_context_dc4123c84bbe.png,
168281,Mel's Diner - Tesla Supercharger,CA,Tesla,data-ev\data\images\primary\168281_primary_71f42c9eb68a.png,data-ev\data\images\context\168281_context_71f42c9eb68a.png,
400476,NEFC Soccer Training Center,MA,RED_E,data-ev\data\images\primary\400476_primary_01ed91f1993a.png,data-ev\data\images\context\400476_context_01ed91f1993a.png,
156586,Group 101,OK,FCN,data-ev\data\images\primary\156586_primary_2d03002444c3.png,data-ev\data\images\context\156586_context_2d03002444c3.png,
434979,LARRY H. MILLER SUPERFORD 1,UT,ChargePoint Network,data-ev\data\images\primary\434979_primary_ce2a8b001630.png,data-ev\data\images\context\434979_context_ce2a8b001630.png,
206263,Albertville Outlet Mall,MN,ZEFNET,data-ev\data\images\primary\206263_primary_94a7fd67e4ef.png,data-ev\data\images\context\206263_context_94a7fd67e4ef.png,
185235,GEORGIA POWER MINOLA DC,GA,ChargePoint Network,data-ev\data\images\primary\185235_primary_673a305c86de.png,data-ev\data\images\context\185235_context_673a305c86de.png,
449649,2210 W 22nd St,IL,SHELL_RECHARGE,data-ev\data\images\primary\449649_primary_d84e205b4ff3.png,data-ev\data\images\context\449649_context_d84e205b4ff3.png,
428483,Rio Vista Plaza Shopping Center - Brawley,CA,eVgo Network,data-ev\data\images\primary\428483_primary_608ad7b95d56.png,data-ev\data\images\context\428483_context_608ad7b95d56.png,
449185,Target - Tesla Supercharger,MA,Tesla,data-ev\data\images\primary\449185_primary_fa5ab5078b87.png,data-ev\data\images\context\449185_context_fa5ab5078b87.png,
449773,Alabama Power - Atmore Business Office - Ultra,AL,FLO,data-ev\data\images\primary\449773_primary_5c3ec32eb0e7.png,data-ev\data\images\context\449773_context_5c3ec32eb0e7.png,
102165,Hy-Vee - Tesla Supercharger,IL,Tesla,data-ev\data\images\primary\102165_primary_136bc1e29bf2.png,data-ev\data\images\context\102165_context_136bc1e29bf2.png,
376602,Heartland Energy Services,KS,EVGATEWAY,data-ev\data\images\primary\376602_primary_fab749a3642d.png,data-ev\data\images\context\376602_context_fab749a3642d.png,
422596,Southern Illinois Airport,IL,RED_E,data-ev\data\images\primary\422596_primary_b14a5af3dd67.png,data-ev\data\images\context\422596_context_b14a5af3dd67.png,
334257,Tynans Volkswagon,CO,EVGATEWAY,data-ev\data\images\primary\334257_primary_2ff356f4e53f.png,data-ev\data\images\context\334257_context_2ff356f4e53f.png,
420721,Buddy Bear - 243 W. 83rd Street,IL,NOODOE,data-ev\data\images\primary\420721_primary_852ff6bd1d06.png,data-ev\data\images\context\420721_context_852ff6bd1d06.png,
416540,STEW HANSENS POWER LINK 1,IA,ChargePoint Network,data-ev\data\images\primary\416540_primary_c15e1e86da34.png,data-ev\data\images\context\416540_context_c15e1e86da34.png,
328338,Olive Garden - Riverdale Shopping Center,UT,EVPOWER,data-ev\data\images\primary\328338_primary_974a277d5d80.png,data-ev\data\images\context\328338_context_974a277d5d80.png,
335303,Arvin Park & Ride DCFC,CA,AMPUP,data-ev\data\images\primary\335303_primary_0c072ed2e681.png,data-ev\data\images\context\335303_context_0c072ed2e681.png,
321507,COLE CADILLAC,MI,EV Connect,data-ev\data\images\primary\321507_primary_f752b50d7ebe.png,data-ev\data\images\context\321507_context_f752b50d7ebe.png,
321346,VOLVO CAR USA GRAND JUNCT DC4,CO,ChargePoint Network,data-ev\data\images\primary\321346_primary_970209e4cc27.png,data-ev\data\images\context\321346_context_970209e4cc27.png,
357822,San Ramon Sports Facility,CA,EVPASSPORT,data-ev\data\images\primary\357822_primary_aeaef2976494.png,data-ev\data\images\context\357822_context_aeaef2976494.png,
356334,Rove EV Charging Hub,CA,ROVE,data-ev\data\images\primary\356334_primary_b6df7a4bcb75.png,data-ev\data\images\context\356334_context_b6df7a4bcb75.png,
422242,Eastlake Village Center,CA,GO_TO_U,data-ev\data\images\primary\422242_primary_03115be7c22a.png,data-ev\data\images\context\422242_context_03115be7c22a.png,
351598,11 Artisan Dr,NH,EPIC_CHARGING,data-ev\data\images\primary\351598_primary_9e4229f8cb0a.png,data-ev\data\images\context\351598_context_9e4229f8cb0a.png,
187907,"Crossroads Center (Statesville, NC)",NC,Electrify America,data-ev\data\images\primary\187907_primary_fafa8887e3f2.png,data-ev\data\images\context\187907_context_fafa8887e3f2.png,
358418,Ken Stoepel Ford,TX,FORD_CHARGE,data-ev\data\images\primary\358418_primary_4d659e2289cd.png,data-ev\data\images\context\358418_context_4d659e2289cd.png,
228290,Island Pacific Seafood Market,CA,eVgo Network,data-ev\data\images\primary\228290_primary_94733d4ef3f1.png,data-ev\data\images\context\228290_context_94733d4ef3f1.png,
195778,Smithfield's Chicken 'N Bar-B-Q - Tesla Supercharger,NC,Tesla,data-ev\data\images\primary\195778_primary_3a5152252bd0.png,data-ev\data\images\context\195778_context_3a5152252bd0.png,
421061,670 N Beers St - ASG HQ,NJ,EVOKE,data-ev\data\images\primary\421061_primary_7595d9101a88.png,data-ev\data\images\context\421061_context_7595d9101a88.png,
228327,Lenox Square Mall,GA,eVgo Network,data-ev\data\images\primary\228327_primary_b553485773a3.png,data-ev\data\images\context\228327_context_b553485773a3.png,
346595,GEORGIA POWER MCRAE DC1,GA,ChargePoint Network,data-ev\data\images\primary\346595_primary_f94f5d67d7cd.png,data-ev\data\images\context\346595_context_f94f5d67d7cd.png,
307817,Holiday Inn Express Ontario - Tesla Supercharger,OR,Tesla,data-ev\data\images\primary\307817_primary_0e0f6022e7bf.png,data-ev\data\images\context\307817_context_0e0f6022e7bf.png,
391716,L292 EXPP PL 1,PA,ChargePoint Network,data-ev\data\images\primary\391716_primary_8fa0cde6d3e7.png,data-ev\data\images\context\391716_context_8fa0cde6d3e7.png,
122271,High Valley Center - Tesla Supercharger,CO,Tesla,data-ev\data\images\primary\122271_primary_e84eaa8cc33e.png,data-ev\data\images\context\122271_context_e84eaa8cc33e.png,
302974,Cub Foods - Tesla Supercharger,MN,Tesla,data-ev\data\images\primary\302974_primary_1011d153fb7e.png,data-ev\data\images\context\302974_context_1011d153fb7e.png,
448175,Best Western Plus Parkway Hotel,IL,UNIVERSAL,data-ev\data\images\primary\448175_primary_c72934189975.png,data-ev\data\images\context\448175_context_c72934189975.png,
121790,"Casey's Lebanon (Lebanon, MO)",MO,Electrify America,data-ev\data\images\primary\121790_primary_fefa6d3d7e67.png,data-ev\data\images\context\121790_context_fefa6d3d7e67.png,
390426,Chatsworth Ford,GA,FORD_CHARGE,data-ev\data\images\primary\390426_primary_b1c027bfc96b.png,data-ev\data\images\context\390426_context_b1c027bfc96b.png,
445846,"Carlin, NV Rechargery Relay - 10th St",NV,IONNA,data-ev\data\images\primary\445846_primary_05665ccf8c03.png,data-ev\data\images\context\445846_context_05665ccf8c03.png,
311221,Carr Woodall - Tesla Supercharger,UT,Tesla,data-ev\data\images\primary\311221_primary_aacbddce2cf7.png,data-ev\data\images\context\311221_context_aacbddce2cf7.png,
327472,PPAP PPAKIRKWD 9,PA,ChargePoint Network,data-ev\data\images\primary\327472_primary_5ab94e44db43.png,data-ev\data\images\context\327472_context_5ab94e44db43.png,
39873,Carson Nissan,CA,Non-Networked,data-ev\data\images\primary\39873_primary_95b5de2d3b50.png,data-ev\data\images\context\39873_context_95b5de2d3b50.png,
323901,DC VANCOUVER DC3,WA,ChargePoint Network,data-ev\data\images\primary\323901_primary_427f6eb6cf0a.png,data-ev\data\images\context\323901_context_427f6eb6cf0a.png,
391118,"Blowing Rock, NC",NC,RIVIAN_ADVENTURE,data-ev\data\images\primary\391118_primary_01f5cb45bb30.png,data-ev\data\images\context\391118_context_01f5cb45bb30.png,
347386,Waffle House Pensacola,FL,Blink Network,data-ev\data\images\primary\347386_primary_e2d7021d7ffc.png,data-ev\data\images\context\347386_context_e2d7021d7ffc.png,
350867,CITYOFLAFAYETTE DCFAST #1,AL,ChargePoint Network,data-ev\data\images\primary\350867_primary_3a0602f0601c.png,data-ev\data\images\context\350867_context_3a0602f0601c.png,
449029,IN-N-OUT DEXTER 01,CA,ChargePoint Network,data-ev\data\images\primary\449029_primary_18cc79e9a017.png,data-ev\data\images\context\449029_context_18cc79e9a017.png,
357393,"Walmart Supercenter 3708 (Suisun City, CA)",CA,Electrify America,data-ev\data\images\primary\357393_primary_e84a43c24d37.png,data-ev\data\images\context\357393_context_e84a43c24d37.png,
261470,"Scappoose, OR - Tesla Supercharger",OR,Tesla,data-ev\data\images\primary\261470_primary_ced4d5cab84e.png,data-ev\data\images\context\261470_context_ced4d5cab84e.png,
429748,Sioux Falls Kenworth,SD,FLIPTURN,data-ev\data\images\primary\429748_primary_413428f0035b.png,data-ev\data\images\context\429748_context_413428f0035b.png,
422461,KG FORD CHEY POWER LINK 2,WY,ChargePoint Network,data-ev\data\images\primary\422461_primary_333d12a6210b.png,data-ev\data\images\context\422461_context_333d12a6210b.png,
439000,Port Wentworth Elementary,GA,ENVIROSPARK,data-ev\data\images\primary\439000_primary_08612ac10346.png,data-ev\data\images\context\439000_context_08612ac10346.png,
349794,UT Paper Box,UT,POWERPUMP,data-ev\data\images\primary\349794_primary_68626c7960c2.png,data-ev\data\images\context\349794_context_68626c7960c2.png,
391225,"Lee Vining, CA",CA,RIVIAN_ADVENTURE,data-ev\data\images\primary\391225_primary_f40e6d032170.png,data-ev\data\images\context\391225_context_f40e6d032170.png,
383808,COR EV CHARGERS SUNDIAL BR2,CA,ChargePoint Network,data-ev\data\images\primary\383808_primary_ade93f47effb.png,data-ev\data\images\context\383808_context_ade93f47effb.png,
231698,Gloucester Crossing - Tesla Supercharger,MA,Tesla,data-ev\data\images\primary\231698_primary_605303c94ad1.png,data-ev\data\images\context\231698_context_605303c94ad1.png,
405370,Flying J 621,CO,eVgo Network,data-ev\data\images\primary\405370_primary_7a42b0ebea97.png,data-ev\data\images\context\405370_context_7a42b0ebea97.png,
256192,"Bal Harbour Shops (Bal Harbour, FL)",FL,Electrify America,data-ev\data\images\primary\256192_primary_7231a83ff0a0.png,data-ev\data\images\context\256192_context_7231a83ff0a0.png,
322553,CPT_CPT-220715003775,CA,ChargePoint Network,data-ev\data\images\primary\322553_primary_c65150f245ca.png,data-ev\data\images\context\322553_context_c65150f245ca.png,
228697,"Meijer Royal Oak, MI #34",MI,eVgo Network,data-ev\data\images\primary\228697_primary_2e08b272dcf2.png,data-ev\data\images\context\228697_context_2e08b272dcf2.png,
185583,"Safeway 0928 Patterson Blvd (Pleasant Hill, CA)",CA,Electrify America,data-ev\data\images\primary\185583_primary_5103f1cfa2c4.png,data-ev\data\images\context\185583_context_5103f1cfa2c4.png,
102064,Park Place - Tesla Supercharger,CA,Tesla,data-ev\data\images\primary\102064_primary_3666ae8e7ed7.png,data-ev\data\images\context\102064_context_3666ae8e7ed7.png,
259974,7Charge - Dallas 38277,TX,7CHARGE,data-ev\data\images\primary\259974_primary_6c53c61c3fcf.png,data-ev\data\images\context\259974_context_6c53c61c3fcf.png,
445753,College Plaza - Tesla Supercharger,FL,Tesla,data-ev\data\images\primary\445753_primary_45912f78975a.png,data-ev\data\images\context\445753_context_45912f78975a.png,
256430,Voss Village Cadillac,OH,EV Connect,data-ev\data\images\primary\256430_primary_53550a0db836.png,data-ev\data\images\context\256430_context_53550a0db836.png,
355548,Carson Civic Center - Tesla Supercharger,CA,Tesla,data-ev\data\images\primary\355548_primary_9fffa687597d.png,data-ev\data\images\context\355548_context_9fffa687597d.png,
